1;2;3;4;5;6;7;8;9;;;;;;;
;;;;Lana de vidrio en colchoneta con papel a 1 cara ? = 35 kg/m³;0,1;2,2;2,22,E+10;4;;;;;;;
;;;;Lana mineral en colchoneta ? = 36 kg/m³;0,04;2,2;5,59,E+10;11;;;;;;;
;;;;Lana vidrio en rollo ? = 12 kg/m³;0,05;0,6;1,24,E+10;2;;;;;;;
;;;;Lana de vidrio Aislanglass ® ? = 14 kg/m³;0,04;;;3;;;;;;;
;;;;Lana de vidrio Aislanglass ® ? = 32 kg/m³;0,04;;;3;;;;;;;
;;;;Mortero de pega albañilería (21,6% agua);0,013;1,4;1,04,E+11;21;;;;;;;
;;;;Mortero de pega para pisos (5L agua por saco) ? = 1800 kg/m³;0,019;1,6;8,53,E+10;17;;;;;;;
;;;;OSB  ? = 650 kg/m³;0,0111;18,7;1,68,E+12;371;;;;;;;
;;;;OSB PaintPanel Louisiana Pacific ? = 685,4 kg/m³;0,0095;12,4;1,30,E+12;260;;;;;;;
;;;;OSB SmartPanel Louisiana Pacific ? = 648 kg/m³;0,0111;15,9;1,43,E+12;286;;;;;;;
;;;;Papel decomural vinílico 240 g/m²;0,0005;3,8;7,69,E+12;1538;;;;;;;
;;;;Papel Kraft librería 110 g/m²;0,0015;5,2;3,45,E+12;690;;;;;;;
;;;;Papel mural 200 g/m²;0,00037;2,9;7,73,E+12;1546;;;;;;;
;;;;Pino insigne  ? = 410 kg/m³;0,02;5,8;2,92,E+11;64;;;;;;;
;;;;Pintura barniz marino, 2 manos;0,00001;6,4;6,38,E+14;127600;;;;;;;
;;;;Pintura esmalte al agua (10 micras);0,00001;5,8;5,78,E+14;127160;;;;;;;
;;;;Pintura esmalte al agua, 2 manos;0,00001;4,5;4,55,E+14;90900;;;;;;;
;;;;Pintura látex acrílico (10 micras);0,00001;1,5;1,52,E+14;33440;;;;;;;
;;;;Pintura óleo brillante, 2 manos;0,00001;8,1;8,12,E+14;162400;;;;;;;
;;;;Pintura piscina, 2 manos;0,00001;15,7;1,57,E+15;313600;;;;;;;
;;;;Piso flotante, e = 6 mm;0,006;35,9;5,99,E+12;1197;;;;;;;
;;;;Placa de fibra de madera MDF ? = 620 kg/m³;0,012;1,2;1,02,E+11;20;;;;;;;
;;;;placa de fibrosilicato ? = 910 kg/m³;0,01;1,6;1,56,E+11;31;;;;;;;
;;;;Placa de madera contrachapada ? = 550 kg/m³;0,015;3,8;2,53,E+11;51;;;;;;;
;;;;Polietileno;0,0002;138,0;6,90,E+14;151800;;;;;;;
;;;;Poliuretano proyectado, ? = 9,5 kg/m³;0,05;3,6;7,14,E+10;14;;;;;;;
;;;;Revestimiento exterior de fibrocemento tinglado;0,006;4,2;6,96,E+11;139;;;;;;;
;;;;Revoque fino de tierra (2½ arena gruesa, 1½ arena fina, 1 arcilla y agua);0,03;2,0;6,67,E+10;13;;;;;;;
;;;;Revoque grueso de tierra (2½ arena gruesa, 1½ arena fina, 1 arcilla, ½ paja, 1 agua);0,03;2,5;8,33,E+10;17;;;;;;;
;;;;SmartPanel;0,0111;15,9;1,43,E+12;316;;;;;;;
;;;;Terciado ranurado  ? = 570 kg/m³;0,009;12,0;1,33,E+12;293;;;;;;;
;;;;Typro;0,0035;4,4;1,27,E+12;253;;;;;;;
;;;;Tyvek homewrap;0,00012;1,1;8,81,E+12;1761;;;;;;;
;;;;Volcán Wrap barrera de vapor;0,000095;59,8;6,29,E+14;125839;;;;;;;
;;;;Volcanwrap Typar 125 m²;0,00025;;;1454;;;;;;;
;;;;XPS Owens Corning Foamular 250 ? = 24 kg/m³;0,0254;;;526;;;;;;;
;;;;Yeso cartón RF ? = 840 kg/m³;0,0125;0,7;5,76,E+10;12;;;;;;;
;;;;Yeso cartón RH ? = 760 kg/m³;0,0125;0,7;5,43,E+10;11;;;;;;;
;;;;Yeso Cartón ST ? = 750 kg/m³;0,01;0,9;8,91,E+10;20;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;NCh 853.Of2007;;;;;;;;;;;
;;;;Material;"Resistencia térmica
R
m²K/W";"Factor de resistencia al vapor de agua 
?";;;;;;;;;
;;;;Cámara de aire no ventilada, E = 0,82;según NCh 853.Of2007;1;;;;;;;;;
;;;;Cámara de aire no ventilada, E = 0,20;según NCh 853.Of2007;1;;;;;;;;;
;;;;Cámara de aire no ventilada, E = 0,11;según NCh 853.Of2007;1;;;;;;;;;
;;;;Cámara de aire no ventilada, E = 0,05;según NCh 853.Of2007;1;;;;;;;;;
;;;;Perfil acero 38x38x0,85;según NCh 853.Of2007;inf;;;;;;;;;
;;;;Perfil acero 60x38x0,85;según NCh 853.Of2007;inf;;;;;;;;;
;;;;Perfil acero 90x38x0,85;según NCh 853.Of2007;inf;;;;;;;;;
;;;;Perfil acero;*según cálculo usuario*;inf;;;;;;;;;
;;;;NOTA: E = Emisividad, inf = infinito;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;ISO 10456;;;;;;;;;;;;;
;;Tabla 3 - Valores térmicos de diseño para materiales en aplicaciones generales de la edificación;;;;;;;;;;;;;
;;Grupo;Nombre para mostrar;Materiales o aplicación;"Densidad
?
kg/m³";"Conductividad térmica de diseño
?
W/(m?K)";"Capacidad calorífica específica
CP
J/(kg?K)";"factor de resistencia al vapor de agua
?
seco";"factor de resistencia al vapor de agua
?
húmedo";;;;;;
;;;---Asfalto---;;;;;;;;;;;;
;;Asfalto;Asfalto - Asfalto, ? =2100 kg/m³;Asfalto;2100;0,70;1000;50000;50000;;;;;;
;;;---Bitumen---;;;;;;;;;;;;
;;Bitumen;Bitumen - Puro, ? =1050 kg/m³;Puro;1050;0,17;1000;50000;50000;;;;;;
;;Bitumen;Bitumen - Fieltro/lámina, ? =1100 kg/m³;Fieltro/lámina;1100;0,23;1000;50000;50000;;;;;;
;;;---Hormigón---;;;;;;;;;;;;
;;Hormigón;Hormigón - Densidad media, ? =1800 kg/m³;Densidad media;1800;1,15;1000;100;60;;;;;;
;;Hormigón;Hormigón - Densidad media, ? =2000 kg/m³;Densidad media;2000;1,35;1000;100;60;;;;;;
;;Hormigón;Hormigón - Densidad media, ? =2200 kg/m³;Densidad media;2200;1,65;1000;120;70;;;;;;
;;Hormigón;Hormigón - Densidad alta, ? =2400 kg/m³;Densidad alta;2400;2,00;1000;130;80;;;;;;
;;Hormigón;Hormigón - Armado (1% de acero), ? =2300 kg/m³;Armado (1% de acero);2300;2,30;1000;130;80;;;;;;
;;Hormigón;Hormigón - Armado (2% de acero), ? =2400 kg/m³;Armado (2% de acero);2400;2,50;1000;130;80;;;;;;
;;;---Recubrimientos de piso---;;;;;;;;;;;;
;;Recubrimientos de piso;Caucho, ? =1200 kg/m³;Caucho;1200;0,17;1400;10000;10000;;;;;;
;;Recubrimientos de piso;Plástico, ? =1700 kg/m³;Plástico;1700;0,25;1400;10000;10000;;;;;;
;;Recubrimientos de piso;caucho celular o plástico sobre radier, ? =270 kg/m³;caucho celular o plástico sobre radier;270;0,10;1400;10000;10000;;;;;;
;;Recubrimientos de piso;fieltro sobre radier, ? =120 kg/m³;fieltro sobre radier;120;0,05;1300;20;15;;;;;;
;;Recubrimientos de piso;lana sobre radier, ? =200 kg/m³;lana sobre radier;200;0,06;1300;20;15;;;;;;
;;Recubrimientos de piso;corcho sobre radier, ? =< 200 kg/m³;corcho sobre radier;< 200;0,05;1500;20;10;;;;;;
;;Recubrimientos de piso;corcho, palmetas, ? => 400 kg/m³;corcho, palmetas;> 400;0,07;1500;40;20;;;;;;
;;Recubrimientos de piso;alfombra / recubrimiento textil, ? =200 kg/m³;alfombra / recubrimiento textil;200;0,06;1300;5;5;;;;;;
;;Recubrimientos de piso;linóleo, ? =1200 kg/m³;linóleo;1200;0,17;1400;1000;800;;;;;;
;;;---Gases---;;;;;;;;;;;;
;;Gases;aire, ? =1,23 kg/m³;aire;1,23;0,03;1008;1;1;;;;;;
;;Gases;dióxido de carbono, ? =1,95 kg/m³;dióxido de carbono;1,95;0,01;820;1;1;;;;;;
;;Gases;argón, ? =1,7 kg/m³;argón;1,7;0,02;519;1;1;;;;;;
;;Gases;Hexafloruro de azufre, ? =6,36 kg/m³;Hexafloruro de azufre;6,36;0,01;614;1;1;;;;;;
;;Gases;kriptón, ? =3,56 kg/m³;kriptón;3,56;0,01;245;1;1;;;;;;
;;Gases;xenón, ? =5,68 kg/m³;xenón;5,68;0,01;160;1;1;;;;;;
;;;---Vidrio---;;;;;;;;;;;;
;;Vidrio;de cal sodada (incluyendo vidrio flotado), ? =2500 kg/m³;de cal sodada (incluyendo vidrio flotado);2500;1,00;750;inf;inf;;;;;;
;;Vidrio;de cuarzo, ? =2200 kg/m³;de cuarzo;2200;1,40;750;inf;inf;;;;;;
