1;2;3;4;5;6;7;8;9;;;;;;;
;;Tableros de madera;fibras, incluyendo MDF, ? =250 kg/m³;fibras, incluyendo MDF;250;0,07;1700;5;3;;;;;;
;;Tableros de madera;fibras, incluyendo MDF, ? =400 kg/m³;fibras, incluyendo MDF;400;0,10;1700;10;5;;;;;;
;;Tableros de madera;fibras, incluyendo MDF, ? =600 kg/m³;fibras, incluyendo MDF;600;0,14;1700;20;12;;;;;;
;;Tableros de madera;fibras, incluyendo MDF, ? =800 kg/m³;fibras, incluyendo MDF;800;0,18;1700;30;20;;;;;;
;;;;;;;;;;;;;;;
;;;ISO 10456;;;;;;;;;;;;
;;;Tabla 4 (extracto);;;;;;;;;;;;
;;;Nombre para mostrar;Material;"Densidad
?
kg/m³";"Factor de resistencia al vapor de agua 
? 
seco";"Factor de resistencia al vapor de agua 
? 
húmedo";"Capacidad calorífica específica
CP
J/(kg?K)";;;;;;;
;;;Poliestireno expandido, ? =10-50 kg/m³;Poliestireno expandido;10-50;60;60;1450;;;;;;;
;;;espuma de poliestireno extruido, ? =20-65 kg/m³;espuma de poliestireno extruido;20-65;150;150;1450;;;;;;;
;;;espuma de poliuretano, rígida, ? =28-55 kg/m³;espuma de poliuretano, rígida;28-55;60;60;1400;;;;;;;
;;;lana mineral, ? =10-200 kg/m³;lana mineral;10-200;1;1;1030;;;;;;;
;;;espuma fenólica, ? =20-50 kg/m³;espuma fenólica;20-50;50;50;1400;;;;;;;
;;;vidrio celular, ? =100-150 kg/m³;vidrio celular;100-150;inf;inf;1000;;;;;;;
;;;tablero de perlita, ? =140-240 kg/m³;tablero de perlita;140-240;5;5;900;;;;;;;
;;;corcho expandido, ? =90-140 kg/m³;corcho expandido;90-140;10;5;1560;;;;;;;
;;;tablero de lana de madera, ? =250-450 kg/m³;tablero de lana de madera;250-450;5;3;1470;;;;;;;
;;;tablero de fibra de madera, ? =40-250 kg/m³;tablero de fibra de madera;40-250;5;3;2000;;;;;;;
;;;espuma de urea-formaldehído, ? =10-30 kg/m³;espuma de urea-formaldehído;10-30;2;2;1400;;;;;;;
;;;espuma de poliuretano aplicada en spray, ? =30-50 kg/m³;espuma de poliuretano aplicada en spray;30-50;60;60;1400;;;;;;;
;;;relleno suelto de lana mineral, ? =15-60 kg/m³;relleno suelto de lana mineral;15-60;1;1;1030;;;;;;;
;;;relleno suelto de fibra de celulosa, ? =20-60 kg/m³;relleno suelto de fibra de celulosa;20-60;2;2;1600;;;;;;;
;;;relleno suelto de perilta expandida, ? =30-150 kg/m³;relleno suelto de perilta expandida;30-150;2;2;900;;;;;;;
;;;relleno suelto de vermiculita exfoliada, ? =30-150 kg/m³;relleno suelto de vermiculita exfoliada;30-150;3;2;1080;;;;;;;
;;;relleno suelto de arcilla expandida, ? =200-400 kg/m³;relleno suelto de arcilla expandida;200-400;2;2;1000;;;;;;;
;;;relleno suelto de perlas de poliestireno expandido, ? =10-30 kg/m³;relleno suelto de perlas de poliestireno expandido;10-30;2;2;1400;;;;;;;
;;;barro cocido, ? =1000-2400 kg/m³;barro cocido;1000-2400;16;10;1000;;;;;;;
;;;;;;;;;;;;;;;
;;;;ISO 10456;;;;;;;;;;;
;;;;Tabla 5 - Difusión de vapor de agua - espesor de aire equivalente;;;;;;;;;;;
;;;;Producto/material;"Espesor de aire equivalente
Sd
m";;;;;;;;;;
;;;;Polietileno 0,15 mm;50;;;;;;;;;;
;;;;Polietileno 0,25 mm;100;;;;;;;;;;
;;;;Lámina de poliester 0,2 mm;50;;;;;;;;;;
;;;;Lámina de PVC;30;;;;;;;;;;
;;;;Lámina de aluminio 0,05 mm;1500;;;;;;;;;;
;;;;Lámina de PE 0,15 mm;8;;;;;;;;;;
;;;;Papel bituminoso 0,1 mm;2;;;;;;;;;;
;;;;Papel de aluminio 0,4 mm;10;;;;;;;;;;
;;;;membrana respirable;0,2;;;;;;;;;;
;;;;Pintura - emulsión;0,1;;;;;;;;;;
;;;;Pintura - gloss;3;;;;;;;;;;
;;;;Papel mural vinílico;2;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
